aId:ID(Amenity),:LABEL,name,_start,_end,_type,rating,url,picture_url,host_identity_verified,accomodates,bedrooms,bathrooms,beds,price,review_scores_rating
381,:Amenities,Sonos sound system with aux,,,,,,,,,,,,,
382,:Amenities,sonos Bluetooth sound system,,,,,,,,,,,,,
383,:Amenities,Dedicated workspace: desk and office chair,,,,,,,,,,,,,
384,:Amenities,Fast wifi – 104 Mbps,,,,,,,,,,,,,
385,:Amenities,Children’s books and toys for ages 0-2 years old,,,,,,,,,,,,,
386,:Amenities,"Dedicated workspace: monitor, desk, and office chair",,,,,,,,,,,,,
387,:Amenities,Stainless steel induction stove,,,,,,,,,,,,,
388,:Amenities,Bose sound system with aux,,,,,,,,,,,,,
389,:Amenities,??? conditioner,,,,,,,,,,,,,
390,:Amenities,Stainless steel stove,,,,,,,,,,,,,
391,:Amenities,Tafelmode refrigerator,,,,,,,,,,,,,
392,:Amenities,"HDTV with standard cable, Netflix",,,,,,,,,,,,,
393,:Amenities,SMeg refrigerator,,,,,,,,,,,,,
394,:Amenities,Bio conditioner,,,,,,,,,,,,,
395,:Amenities,Bio shampoo,,,,,,,,,,,,,
396,:Amenities,"50"" HDTV with Netflix, premium cable, standard cable",,,,,,,,,,,,,
397,:Amenities,"Dedicated workspace: office chair, table, and desk",,,,,,,,,,,,,
398,:Amenities,Bose Bluetooth sound system,,,,,,,,,,,,,
399,:Amenities,BlueNode & B&W sound system with Bluetooth and aux,,,,,,,,,,,,,
400,:Amenities,Love Beauty and Planet (vegan) conditioner,,,,,,,,,,,,,
401,:Amenities,Love Beauty and Planet (vegan) body soap,,,,,,,,,,,,,
402,:Amenities,Love Beauty and Planet ( vegan)  shampoo,,,,,,,,,,,,,
403,:Amenities,Bose  Bluetooth sound system,,,,,,,,,,,,,
404,:Amenities,"35"" HDTV with Apple TV",,,,,,,,,,,,,
405,:Amenities,"42"" HDTV with Chromecast",,,,,,,,,,,,,
406,:Amenities,Diverse merken body soap,,,,,,,,,,,,,
407,:Amenities,Eco-friendly body soap,,,,,,,,,,,,,
408,:Amenities,Eco-friendly shampoo,,,,,,,,,,,,,
409,:Amenities,Yoy can connect via bluetooth to our Marantz to listen to your own music Bluetooth sound system,,,,,,,,,,,,,
410,:Amenities,"Clothing storage: closet, wardrobe, and walk-in closet",,,,,,,,,,,,,
411,:Amenities,L’Oréal Elvive conditioner,,,,,,,,,,,,,
